,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
1536,1536,Punjab,KAPURTHALA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,4000,231000,0.19,1,1,0.46,1,1,1602.5
1557,1557,Punjab,KAPURTHALA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,300,18000,0.19,1,1,0.46,1,1,1602.5
1568,1568,Punjab,KAPURTHALA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,3,221000,0.19,1,1,0.46,1,1,1602.5
1573,1573,Punjab,KAPURTHALA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,4000,258000,0.19,1,1,0.46,1,1,1602.5
1578,1578,Punjab,KAPURTHALA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,4000,328000,0.19,1,1,0.46,1,1,1602.5
1584,1584,Punjab,KAPURTHALA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,4000,312000,0.19,1,1,0.46,1,1,1602.5
1596,1596,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,8000,470000,0.19,1,1,0.46,1,1,1602.5
1605,1605,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,5000,330000,0.19,1,1,0.46,1,1,1602.5
1614,1614,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,6000,420000,0.19,1,1,0.46,1,1,1602.5
1625,1625,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,7000,470000,0.19,1,1,0.46,1,1,1602.5
1636,1636,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,8000,540000,0.19,1,1,0.46,1,1,1602.5
1647,1647,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,8000,510000,0.19,1,1,0.46,1,1,1602.5
1658,1658,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,5000,270000,0.19,1,1,0.46,1,1,1602.5
1668,1668,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,3000,140000,0.19,1,1,0.46,1,1,1602.5
1680,1680,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,2000,133000,0.19,1,1,0.46,1,1,1602.5
1717,1717,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,100,6000,0.19,1,1,0.46,1,1,1602.5
1736,1736,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,2,161000,0.19,1,1,0.46,1,1,1602.5
1749,1749,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,2000,136000,0.19,1,1,0.46,1,1,1602.5
1760,1760,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,2000,170000,0.19,1,1,0.46,1,1,1602.5
1769,1769,Punjab,LUDHIANA,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,3000,258000,0.19,1,1,0.46,1,1,1602.5
1779,1779,Punjab,MANSA,Whole Year ,high,6,60,40,Temperate,Sugarcane,1000,60000,0.19,1,1,0.46,1,1,1602.5
1788,1788,Punjab,MANSA,Whole Year ,high,6,60,40,Temperate,Sugarcane,1000,60000,0.19,1,1,0.46,1,1,1602.5
1798,1798,Punjab,MANSA,Whole Year ,high,6,60,40,Temperate,Sugarcane,1000,60000,0.19,1,1,0.46,1,1,1602.5
1807,1807,Punjab,MANSA,Whole Year ,high,6,60,40,Temperate,Sugarcane,1000,60000,0.19,1,1,0.46,1,1,1602.5
1816,1816,Punjab,MANSA,Whole Year ,high,6,60,40,Temperate,Sugarcane,1000,70000,0.19,1,1,0.46,1,1,1602.5
