,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
753,753,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,374000,1738000,0.19,1,1,0.46,1,1,183.6
763,763,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,378000,1705000,0.19,1,1,0.46,1,1,183.6
773,773,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,383000,1661000,0.19,1,1,0.46,1,1,183.6
785,785,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,369000,1470000,0.19,1,1,0.46,1,1,183.6
798,798,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,383000,1586000,0.19,1,1,0.46,1,1,183.6
811,811,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,386000,1599000,0.19,1,1,0.46,1,1,183.6
825,825,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,386000,1569000,0.19,1,1,0.46,1,1,183.6
838,838,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,389000,1587000,0.19,1,1,0.46,1,1,183.6
850,850,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,395000,1785000,0.19,1,1,0.46,1,1,183.6
862,862,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,395000,1849000,0.19,1,1,0.46,1,1,183.6
873,873,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,395000,1636000,0.19,1,1,0.46,1,1,183.6
883,883,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,397000,1850000,0.19,1,1,0.46,1,1,183.6
893,893,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,394000,1969000,0.19,1,1,0.46,1,1,183.6
900,900,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,185000,911000,0.19,1,1,0.46,1,1,183.6
907,907,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,189000,1001000,0.19,1,1,0.46,1,1,183.6
915,915,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,188000,877000,0.19,1,1,0.46,1,1,183.6
925,925,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,194000,729000,0.19,1,1,0.46,1,1,183.6
936,936,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,108000,465000,0.19,1,1,0.46,1,1,183.6
947,947,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,213000,929000,0.19,1,1,0.46,1,1,183.6
956,956,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,217000,924000,0.19,1,1,0.46,1,1,183.6
965,965,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,217000,1011000,0.19,1,1,0.46,1,1,183.6
974,974,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,206000,784000,0.19,1,1,0.46,1,1,183.6
983,983,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,219000,952000,0.19,1,1,0.46,1,1,183.6
994,994,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,227000,810000,0.19,1,1,0.46,1,1,183.6
1006,1006,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,227000,904000,0.19,1,1,0.46,1,1,183.6
1016,1016,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,229000,910000,0.19,1,1,0.46,1,1,183.6
1024,1024,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,231000,976000,0.19,1,1,0.46,1,1,183.6
1032,1032,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,231000,927000,0.19,1,1,0.46,1,1,183.6
1041,1041,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,230000,940000,0.19,1,1,0.46,1,1,183.6
1051,1051,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,226000,919000,0.19,1,1,0.46,1,1,183.6
1060,1060,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,231000,1098000,0.19,1,1,0.46,1,1,183.6
1068,1068,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,184000,825000,0.19,1,1,0.46,1,1,183.6
1076,1076,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,184000,822000,0.19,1,1,0.46,1,1,183.6
1084,1084,Punjab,GURDASPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,187000,627000,0.19,1,1,0.46,1,1,183.6
1096,1096,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,135000,413000,0.19,1,1,0.46,1,1,183.6
1108,1108,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,140000,488000,0.19,1,1,0.46,1,1,183.6
1120,1120,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,144000,517000,0.19,1,1,0.46,1,1,183.6
1131,1131,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,142000,489000,0.19,1,1,0.46,1,1,183.6
1142,1142,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,139000,502000,0.19,1,1,0.46,1,1,183.6
1154,1154,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,137000,471000,0.19,1,1,0.46,1,1,183.6
1167,1167,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,146000,499000,0.19,1,1,0.46,1,1,183.6
1178,1178,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,145000,493000,0.19,1,1,0.46,1,1,183.6
1189,1189,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,145000,514000,0.19,1,1,0.46,1,1,183.6
1201,1201,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,142000,517000,0.19,1,1,0.46,1,1,183.6
1211,1211,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,145000,552000,0.19,1,1,0.46,1,1,183.6
1222,1222,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,154000,545000,0.19,1,1,0.46,1,1,183.6
1233,1233,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,153000,589000,0.19,1,1,0.46,1,1,183.6
1244,1244,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,154000,661000,0.19,1,1,0.46,1,1,183.6
1255,1255,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,154000,694000,0.19,1,1,0.46,1,1,183.6
1269,1269,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,149000,629000,0.19,1,1,0.46,1,1,183.6
1279,1279,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,148000,671000,0.19,1,1,0.46,1,1,183.6
1289,1289,Punjab,HOSHIARPUR,Rabi       ,medium,6,80,25,Temperate,Wheat,150000,540000,0.19,1,1,0.46,1,1,183.6
1298,1298,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,157000,563000,0.19,1,1,0.46,1,1,183.6
1311,1311,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,162000,748000,0.19,1,1,0.46,1,1,183.6
1320,1320,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,163000,803000,0.19,1,1,0.46,1,1,183.6
1331,1331,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,167000,773000,0.19,1,1,0.46,1,1,183.6
1342,1342,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,167000,785000,0.19,1,1,0.46,1,1,183.6
1353,1353,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,167000,715000,0.19,1,1,0.46,1,1,183.6
1364,1364,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,169000,747000,0.19,1,1,0.46,1,1,183.6
1373,1373,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,171000,734000,0.19,1,1,0.46,1,1,183.6
1383,1383,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,170000,764000,0.19,1,1,0.46,1,1,183.6
1394,1394,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,165000,692000,0.19,1,1,0.46,1,1,183.6
1401,1401,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,167000,741000,0.19,1,1,0.46,1,1,183.6
1410,1410,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,171000,708000,0.19,1,1,0.46,1,1,183.6
1418,1418,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,170000,735000,0.19,1,1,0.46,1,1,183.6
1427,1427,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,169000,793000,0.19,1,1,0.46,1,1,183.6
1433,1433,Punjab,JALANDHAR,Rabi       ,medium,6,80,25,Composite,Wheat,171000,866000,0.19,1,1,0.46,1,1,183.6
