,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
103,"frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
104,"frozenset({'(-1, 100]_a'})","frozenset({'(500, 800]_r', '(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
105,"frozenset({'(500, 800]_r'})","frozenset({'(-1, 100]_a', '(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
106,"frozenset({'(300, 500]_l'})","frozenset({'(-1, 100]_a', '(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
107,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a', '(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
108,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
109,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
110,"frozenset({'(30000, 2250000]_y', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
111,"frozenset({'(-1, 100]_a', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
112,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})","frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
113,"frozenset({'(30000, 2250000]_y', '(300, 500]_l'})","frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
114,"frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
115,"frozenset({'(-1, 100]_a', '(300, 500]_l'})","frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
116,"frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
117,"frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
118,"frozenset({'(30000, 2250000]_y'})","frozenset({'(-1, 100]_a', '(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
119,"frozenset({'(-1, 100]_a'})","frozenset({'(30000, 2250000]_y', '(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
120,"frozenset({'(300, 500]_l'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
121,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
122,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(500, 800]_r'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
123,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
124,"frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
125,"frozenset({'(-1, 100]_a', '(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
126,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})","frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
127,"frozenset({'(30000, 2250000]_y', '(500, 800]_r'})","frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
128,"frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
129,"frozenset({'(-1, 100]_a', '(500, 800]_r'})","frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
130,"frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
131,"frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
132,"frozenset({'(30000, 2250000]_y'})","frozenset({'(-1, 100]_a', '(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
133,"frozenset({'(-1, 100]_a'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
134,"frozenset({'(500, 800]_r'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
135,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
136,"frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
137,"frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
138,"frozenset({'(30000, 2250000]_y', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
139,"frozenset({'(500, 800]_r', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
140,"frozenset({'(30000, 2250000]_y', '(500, 800]_r'})","frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
141,"frozenset({'(30000, 2250000]_y', '(300, 500]_l'})","frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
142,"frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
143,"frozenset({'(500, 800]_r', '(300, 500]_l'})","frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
144,"frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
145,"frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
146,"frozenset({'(30000, 2250000]_y'})","frozenset({'(500, 800]_r', '(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
147,"frozenset({'(500, 800]_r'})","frozenset({'(30000, 2250000]_y', '(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
148,"frozenset({'(300, 500]_l'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
149,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
150,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(500, 800]_r', '(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
151,"frozenset({'(-1, 100]_a', '(500, 800]_r', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
152,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
153,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
154,"frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
155,"frozenset({'(-1, 100]_a', '(500, 800]_r', '(300, 500]_l'})","frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
156,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(500, 800]_r'})","frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
157,"frozenset({'(-1, 100]_a', '(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
158,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(300, 500]_l'})","frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
159,"frozenset({'(-1, 100]_a', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
160,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
161,"frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(300, 500]_l'})","frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
162,"frozenset({'(500, 800]_r', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
