,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
928,928,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,187000,465000,0.19,1,1,0.46,1,1,419.7
939,939,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,198000,561000,0.19,1,1,0.46,1,1,419.7
950,950,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,191000,569000,0.19,1,1,0.46,1,1,419.7
959,959,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,194000,571000,0.19,1,1,0.46,1,1,419.7
968,968,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,189000,547000,0.19,1,1,0.46,1,1,419.7
977,977,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,193000,587000,0.19,1,1,0.46,1,1,419.7
988,988,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,202000,641000,0.19,1,1,0.46,1,1,419.7
999,999,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,190000,590000,0.19,1,1,0.46,1,1,419.7
1009,1009,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,201000,636000,0.19,1,1,0.46,1,1,419.7
1018,1018,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,191000,617000,0.19,1,1,0.46,1,1,419.7
1026,1026,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,201000,663000,0.19,1,1,0.46,1,1,419.7
1034,1034,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,204000,640000,0.19,1,1,0.46,1,1,419.7
1044,1044,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,204000,705000,0.19,1,1,0.46,1,1,419.7
1054,1054,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,201000,649000,0.19,1,1,0.46,1,1,419.7
1063,1063,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,174000,542000,0.19,1,1,0.46,1,1,419.7
1071,1071,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,173000,507000,0.19,1,1,0.46,1,1,419.7
1079,1079,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,173000,452000,0.19,1,1,0.46,1,1,419.7
1090,1090,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,56000,169000,0.19,1,1,0.46,1,1,419.7
1101,1101,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,59000,171000,0.19,1,1,0.46,1,1,419.7
1113,1113,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,61000,178000,0.19,1,1,0.46,1,1,419.7
1125,1125,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,63000,192000,0.19,1,1,0.46,1,1,419.7
1137,1137,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,60000,171000,0.19,1,1,0.46,1,1,419.7
1148,1148,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,56000,159000,0.19,1,1,0.46,1,1,419.7
1160,1160,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,58000,179000,0.19,1,1,0.46,1,1,419.7
1172,1172,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,58000,171000,0.19,1,1,0.46,1,1,419.7
1182,1182,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,61000,182000,0.19,1,1,0.46,1,1,419.7
1194,1194,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,56000,157000,0.19,1,1,0.46,1,1,419.7
1205,1205,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,56000,185000,0.19,1,1,0.46,1,1,419.7
1215,1215,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,60000,209000,0.19,1,1,0.46,1,1,419.7
1226,1226,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,70000,248000,0.19,1,1,0.46,1,1,419.7
1237,1237,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,73000,261000,0.19,1,1,0.46,1,1,419.7
1248,1248,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,74000,269000,0.19,1,1,0.46,1,1,419.7
1261,1261,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,70000,252000,0.19,1,1,0.46,1,1,419.7
1273,1273,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,70000,252000,0.19,1,1,0.46,1,1,419.7
1283,1283,Punjab,HOSHIARPUR,Kharif     ,high,6,60,4,Temperate,Rice,71000,244000,0.19,1,1,0.46,1,1,419.7
1293,1293,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,126000,422000,0.19,1,1,0.46,1,1,419.7
1305,1305,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,134000,436000,0.19,1,1,0.46,1,1,419.7
1316,1316,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,133000,464000,0.19,1,1,0.46,1,1,419.7
1325,1325,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,136000,488000,0.19,1,1,0.46,1,1,419.7
1337,1337,Punjab,JALANDHAR,Kharif     ,high,6,60,4,Composite,Rice,132000,445000,0.19,1,1,0.46,1,1,419.7
