,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production
255,255,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,108000,507000.0
259,259,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,114000,527000.0
260,260,Punjab,BARNALA,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,1000,87000.0
263,263,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,53000,212000.0
267,267,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,236000,819000.0
268,268,Punjab,BATHINDA,Whole Year ,medium,6.0,80,25,Hot-dry,Cotton(lint),199000,286000.0
271,271,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),170000,173000.0
274,274,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,84000,287000.0
278,278,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,258000,1144000.0
281,281,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),151000,279000.0
284,284,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,99000,392000.0
288,288,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,242000,1117000.0
290,290,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),147000,331000.0
291,291,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,3000.0
294,294,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,99000,350000.0
298,298,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,243000,1014000.0
299,299,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),162000,375000.0
303,303,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,82000,307000.0
308,308,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,243000,949000.0
309,309,Punjab,BATHINDA,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,1000,70000.0
311,311,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),125000,347000.0
313,313,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,2000.0
315,315,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,107000,367000.0
320,320,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,239000,999000.0
322,322,Punjab,BATHINDA,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,1000,60000.0
325,325,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),128000,411000.0
327,327,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,3000.0
330,330,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,105000,419000.0
335,335,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,242000,942000.0
337,337,Punjab,BATHINDA,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,1000,50000.0
339,339,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),141000,593000.0
343,343,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,102000,415000.0
348,348,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,241000,993000.0
351,351,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),151000,659000.0
355,355,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,95000,385000.0
360,360,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,243000,954000.0
363,363,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),161000,739000.0
367,367,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,87000,358000.0
371,371,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,245000,1044000.0
374,374,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),165000,660000.0
378,378,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,86000,368000.0
382,382,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,247000,1077000.0
383,383,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),153000,714000.0
387,387,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,97000,427000.0
391,391,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,249000,1152000.0
392,392,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),150000,659000.0
396,396,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,104000,476000.0
400,400,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,251000,1013000.0
401,401,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),147000,607000.0
404,404,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,107000,437000.0
408,408,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,253000,1166000.0
410,410,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),155000,573000.0
413,413,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,101000,409000.0
417,417,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,252000,1260000.0
418,418,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),151000,581000.0
421,421,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,107000,458000.0
425,425,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,254000,1216000.0
428,428,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),142000,505000.0
431,431,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,111000,501000.0
435,435,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,254000,1259000.0
436,436,Punjab,BATHINDA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),139000,498000.0
438,438,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000.0
440,440,Punjab,BATHINDA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,119000,529000.0
444,444,Punjab,BATHINDA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,254000,1218000.0
446,446,Punjab,FARIDKOT,Kharif     ,high,6.0,60,4,Hot-dry,Rice,56000,214000.0
450,450,Punjab,FARIDKOT,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,109000,451000.0
451,451,Punjab,FARIDKOT,Whole Year ,medium,6.0,80,25,Hot-dry,Cotton(lint),48000,35000.0
453,453,Punjab,FARIDKOT,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,2000,130000.0
454,454,Punjab,FARIDKOT,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),22000,19000.0
457,457,Punjab,FARIDKOT,Kharif     ,high,6.0,60,4,Hot-dry,Rice,82000,246000.0
460,460,Punjab,FARIDKOT,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,62000,265000.0
461,461,Punjab,FARIDKOT,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,2000,120000.0
463,463,Punjab,FARIDKOT,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),15000,29000.0
465,465,Punjab,FARIDKOT,Kharif     ,high,6.0,60,4,Hot-dry,Rice,90000,305000.0
469,469,Punjab,FARIDKOT,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,112000,522000.0
470,470,Punjab,FARIDKOT,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,2000,120000.0
472,472,Punjab,FARIDKOT,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),14000,35000.0
474,474,Punjab,FARIDKOT,Kharif     ,high,6.0,60,4,Hot-dry,Rice,90000,310000.0
478,478,Punjab,FARIDKOT,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,111000,524000.0
479,479,Punjab,FARIDKOT,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,2000,130000.0
481,481,Punjab,FARIDKOT,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),36000,72000.0
483,483,Punjab,FARIDKOT,Kharif     ,high,6.0,60,4,Hot-dry,Rice,70000,267000.0
487,487,Punjab,FARIDKOT,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,111000,496000.0
488,488,Punjab,FARIDKOT,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,4000,350000.0
489,489,Punjab,FARIDKOT,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),16000,25000.0
492,492,Punjab,FARIDKOT,Kharif     ,high,6.0,60,4,Hot-dry,Rice,86000,280000.0
497,497,Punjab,FARIDKOT,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,112000,474000.0
499,499,Punjab,FARIDKOT,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,5000,260000.0
501,501,Punjab,FARIDKOT,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),20000,58000.0
504,504,Punjab,FARIDKOT,Kharif     ,high,6.0,60,4,Hot-dry,Rice,84000,308000.0
509,509,Punjab,FARIDKOT,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,114000,461000.0
